TEA,SLN,dem_totp,dem_popwh,dem_popbl,dem_popas,dem_pophi,dem_popm,dem_popf,dem_thh,dem_popse,dem_popch,dem_totp_sd,dem_popwh_sd,dem_popbl_sd,dem_popas_sd,dem_pophi_sd,dem_popm_sd,dem_popf_sd,dem_thh_sd,dem_popse_sd,dem_popch_sd,dem_perwh_sd,dem_perbl_sd,dem_peras_sd,dem_perhi_sd,dem_perm_sd,dem_perf_sd,dem_perse_sd,dem_perch_sd
47,47,53502,40518,5953,3913,8376,25566,27935,24126,9409,10996,2,2,1,4,0,2,2,3,4,1,3,1,4,0,0,4,4,0
69,69,22121,16791,3222,28,13501,11072,11048,5977,1273,7960,0,0,0,1,0,0,0,0,0,0,3,1,1,3,2,2,0,4
354,354,17892,2753,14303,21,2874,7997,9895,6186,2241,5208,0,0,2,1,0,0,0,0,0,0,0,4,1,0,0,4,3,2
62,62,45890,23349,19412,1120,13600,23999,21863,20061,4404,8440,1,1,4,2,0,2,1,2,1,0,0,4,2,0,4,0,2,0
76,76,65193,40762,16959,603,31837,31880,33311,23163,5994,18971,3,2,3,2,2,3,3,2,2,3,2,2,1,2,2,2,2,2
353,353,57337,38548,15616,494,34872,27946,29381,17086,4216,19433,2,2,3,1,3,2,2,2,1,3,2,2,1,3,1,3,0,4
53,53,68180,53821,7339,1866,27247,34723,33427,29475,6121,14793,3,4,1,3,2,3,3,4,2,2,3,1,3,1,3,1,1,0
55,55,51408,39657,6181,2546,13820,27284,24122,24402,5510,7856,2,2,1,4,1,2,2,3,2,0,3,1,4,0,4,0,2,0
79,79,55979,49270,2361,1031,30753,29944,26030,18542,3755,15365,2,3,0,2,2,2,2,2,1,2,4,0,2,2,4,0,0,2
77,77,53070,36345,13064,398,29934,27632,25409,18861,4929,13623,2,2,2,1,2,2,2,2,2,2,2,2,1,2,4,0,2,2
68,68,53899,41620,6637,559,37504,28145,25736,17516,5020,15184,2,2,1,2,3,2,2,2,2,2,3,1,2,4,4,0,2,2
59,59,88881,70617,9696,248,71250,45215,43640,25229,7964,27025,4,4,2,1,4,4,4,3,4,4,3,1,1,4,3,1,1,3
48,48,63836,44520,10505,708,28992,30766,33084,24339,7020,16628,3,2,2,2,2,2,3,3,3,2,2,2,2,2,1,3,2,2
50,50,52688,40551,5806,1908,15507,25881,26811,21766,7413,12640,2,2,1,3,1,2,2,2,4,2,3,1,3,0,2,2,4,1
72,72,41941,10376,29014,1,11557,19159,22788,15542,5728,11577,1,0,4,1,0,1,1,1,2,1,0,4,1,0,0,4,4,2
43,43,50114,28853,16419,213,29271,24026,26059,16093,5257,15085,2,1,3,1,2,2,2,2,2,2,1,3,1,3,1,3,2,3
100,100,76190,55913,13103,236,56651,37774,38379,22301,7282,23529,4,4,2,1,4,4,4,2,3,4,2,2,1,4,2,2,2,3
284,284,51807,34821,7693,2196,20331,25634,26164,19525,6184,14044,2,2,1,3,1,2,2,2,2,2,2,1,4,1,2,2,3,2
280,280,67633,31967,11389,4890,22183,33226,34408,33300,7302,12831,3,2,2,4,2,3,3,4,3,2,0,2,4,1,2,2,2,0
