TEA,SLN,econ_cpr,econ_fincap,econ_medinc,econ_paydaycap,econ_pctlwjobs,econ_pctmwjobs,econ_totjobs,econ_pr,econ_pyr,econ_ur,econ_cpr_sd,econ_fincap_sd,econ_medinc_sd,econ_paydaycap_sd,econ_pctlwjobs_sd,econ_pctmwjobs_sd,econ_totjobs_sd,econ_pr_sd,econ_pyr_sd,econ_ur_sd
47,47,0.199699914864673,6.80344535427587,66860.2975052,1.32289215222031,0.240340320813889,0.301547049202467,66643,0.12657763667789,0.144296200320362,0.0354651369421715,4,4,4,2,2,0,4,4,4,4
69,69,0.285842823255853,0,23866.9719092,0,0.228634850166482,0.384017758046615,1802,0.211512619596317,0.252354986948876,0.0489970925813335,2,0,1,4,2,2,1,2,2,3
354,354,0.367400488174295,0,20214.399823,0,0.246826987307949,0.458583834335337,2994,0.262244767676277,0.214985180239952,0.0960468492847943,1,0,1,4,2,4,1,1,3,0
62,62,0.473722277158744,9.94794078989656,26579.1763431,2.65278421063908,0.119552719691705,0.221239497125529,158290,0.306414972567162,0.260761047531386,0.0708886110446359,0,4,2,0,4,0,4,0,2,1
76,76,0.334491936361336,1.69533935174311,28924.0361927,1.07885231474562,0.247213241326063,0.357718477054481,20723,0.218171795292164,0.224159443106267,0.0457788809704977,2,2,2,3,2,2,2,2,3,3
353,353,0.364865160670425,0.176156295808382,24000.5438858,0.352312591616763,0.201921300572695,0.38735451690375,21652,0.255749147119622,0.311541038092754,0.0461250919932441,2,0,1,4,3,2,2,1,2,3
53,53,0.315596590066118,2.50551343883623,44739.6076922,1.6212145780705,0.301018420613278,0.35833936223496,17969,0.193233298919585,0.303796787836808,0.0424221901209974,2,2,4,2,0,2,2,2,2,3
55,55,0.168253066887248,5.03065189938996,34882.4679238,2.01226075975599,0.134632777747014,0.263894272477251,108354,0.131012194565708,0.101928863337311,0.0303195187319037,4,4,2,1,4,0,4,4,4,4
79,79,0.276541009548745,2.15921140682294,34485.9218932,4.13848852974397,0.239117556456008,0.352266533968389,42201,0.177860774520297,0.315465287493715,0.0472829836960937,3,2,2,0,2,2,2,3,2,3
77,77,0.373366264210545,1.90304858883418,26630.3992156,1.71274372995076,0.22358865442587,0.3972321183886,29192,0.248490692897821,0.581371340458145,0.082066404072778,1,2,2,2,2,3,2,2,0,0
68,68,0.377290762506404,1.87131190912185,24997.8585447,1.68418071820966,0.182211241507103,0.362878319950587,22666,0.242694844799471,0.227679103112261,0.0643235158957518,1,2,1,2,4,2,2,2,3,2
59,59,0.291705164204139,0.791898792199189,24607.4651765,1.92318278105517,0.303096297699082,0.475239087207651,10561,0.206446673633937,0.331164545750733,0.070783369750418,2,1,1,1,0,4,1,2,1,1
48,48,0.295622536276304,1.5728246085343,38614.9137446,1.5728246085343,0.279800689919509,0.387600613261786,10436,0.18243815768468,0.247163613059109,0.0427080768642368,2,2,3,2,1,2,1,3,2,3
50,50,0.219907407842672,1.14817208665915,46480.789846,1.53089611554553,0.313563402889246,0.392215088282504,12460,0.133133531072265,0.276356128242414,0.0301553954942618,4,1,4,2,0,2,1,4,2,4
72,72,0.471500247362449,1.2016170595294,17948.0027692,1.2016170595294,0.326020015396459,0.418783679753657,2598,0.354205228507831,0.308050441364034,0.088229765075576,0,1,0,2,0,3,1,0,2,0
43,43,0.326135183337646,1.4069745947802,24645.8254665,0.803985482731541,0.205979001362507,0.41356095215196,12477,0.239658128036484,0.389599131101503,0.0754891339122206,2,2,1,3,3,3,1,2,0,1
100,100,0.30623155581992,1.05555585765652,24810.4478456,1.18750033986359,0.294951085123131,0.426290340717418,8893,0.219525128982233,0.36136729501835,0.0752895905545565,2,1,1,2,0,4,1,2,1,1
284,284,0.300831534971262,0.777327854033138,33643.7886859,1.55465570806628,0.198643172888016,0.366343320235756,32576,0.179632062714317,0.316583902341459,0.0408266747506918,2,1,2,2,3,2,2,3,2,3
280,280,0.197817012716965,4.45200975394546,49624.9277009,1.48400325131515,0.162095598376483,0.254029239074753,152262,0.105476210613352,0.158122690373796,0.0344406191949016,4,4,4,2,4,0,4,4,4,4
169,169,0.152679835663483,7.29550749434779,60602.0023806,1.07286874916879,0.187214225232854,0.283474456675134,70860,0.0978083817590469,0.131949615891592,0.0314280013982944,4,4,4,3,4,0,4,4,4,4
167,167,0.271602995394765,0,23468.7862375,0,0.266279819471309,0.420373952288846,1551,0.208754308986942,0.245243939407484,0.0519802337905766,3,0,1,4,2,3,1,2,2,2
187,187,0.322968818653879,0,23379.1445029,0.939204273363537,0.215882073228721,0.387066096053257,2103,0.244631949056787,0.153845677138072,0.046727967127319,2,0,1,3,3,2,1,2,4,3
305,305,0.291080566298031,0,22625.6903208,0,0.226158038147139,0.356267029972752,1468,0.210797054502528,0.184168562733975,0.0477453768388567,2,0,1,4,2,2,0,2,3,3
142,142,0.440325983461163,0.412817481060109,17385.3032897,0,0.270790174607872,0.438295353654928,3379,0.322597938606428,0.289058537260817,0.0977756941434742,0,1,0,4,1,4,1,0,2,0
301,301,0.382568155584826,0,20070.7789836,0,0.27533561463543,0.38115293498289,3799,0.248504764248222,0.375574411649635,0.0876510408653382,1,0,1,4,1,2,1,2,0,0
235,235,0.450036481989067,1.92300084866873,21770.9177905,1.44225063650155,0.274215067152895,0.356666370185893,11243,0.309424318760228,0.320797733249282,0.0809435710116921,0,2,1,2,1,2,1,0,2,0
175,175,0.428866067396166,1.25477390375043,22266.4064812,0.250954780750085,0.253035220579397,0.423969227070561,8319,0.297969469729418,0.289359330557108,0.0847581569916991,0,2,1,4,2,4,1,0,2,0
264,264,0.428864380054195,1.96722001777913,22848.9555682,2.45902502222391,0.275226039783002,0.380289330922242,16590,0.300305186541645,0.387784131049665,0.0823177424128238,0,2,1,0,1,2,2,0,0,0
226,226,0.408516649251952,1.2429360886286,22243.7804635,0.310734022157151,0.257366158655725,0.367409144196952,12795,0.292808662160331,0.321900869568715,0.0909235415399504,1,2,1,4,2,2,1,0,2,0
109,109,0.436130865468598,0,20555.391346,2.53377195644017,0.258080556936847,0.363003480855296,4022,0.308393138895314,0.0682776728416947,0.043002765382207,0,0,1,0,2,2,1,0,4,3
117,117,0.488111890196716,0,19431.0859465,1.01940121930574,0.213800500536289,0.343582409724705,2797,0.328031092272266,0.0397803476671937,0.0414917860728753,0,0,0,3,3,1,1,0,4,3
266,266,0.43818876405719,0.509660039430304,20436.8402046,2.03864015772122,0.260362077179609,0.373034778465936,4198,0.305785651897999,0.0595642345112944,0.0402429276636029,0,1,1,1,2,2,1,0,4,3
108,108,0.339660523594225,2.35895047256953,34249.4116855,1.34797169861116,0.259195117928418,0.384545604486228,12126,0.210279073979202,0.284110951410427,0.0443203979492819,2,2,2,2,2,2,1,2,2,3
