TEA,SLN,fam_affcckids,fam_lcckids,fam_tphh,fam_tphhpct,fam_affcckids_sd,fam_lcckids_sd,fam_tphh_sd,fam_tphhpct_sd
47,47,2.73887120175821,19.1720984123075,4496.57762575,0.764938617666782,1,1,1,2
69,69,1.26770062824395,1.26770062824395,1677.36639634,0.562008182873475,0,0,0,1
354,354,7.7350189399119,11.6025284098678,619.762256282,0.325935707377474,1,1,0,-1
62,62,18.1756964245801,36.3513928491602,1191.53382362,0.383777708399434,2,3,0,0
76,76,9.01195001390793,12.7227529608112,4464.81034625,0.600717147653375,1,1,1,1
353,353,5.21258048812416,6.25509658574899,4176.60222629,0.580557648438962,1,0,1,1
53,53,4.77980774025403,21.8505496697327,4180.76347192,0.627005477888823,1,2,1,1
55,55,7.74917682439154,15.4983536487831,2776.62550891,0.728137468093317,1,1,1,2
79,79,2.62832114804332,3.94248172206497,4879.24842463,0.719549378023489,0,0,1,2
77,77,8.96441091951749,17.928821839035,2513.04769024,0.503883161808687,1,1,1,1
68,68,12.1149389591541,15.4801997811414,3448.33552281,0.616270361129728,1,1,1,1
59,59,4.85864266497459,6.35360963881293,5603.22357009,0.605494200008137,1,0,2,1
48,48,6.66299105539323,16.3546144086925,4492.24253152,0.655540081070854,1,1,1,1
50,50,5.56318881898767,19.0737902365291,4710.32510207,0.763916539129158,1,1,1,2
72,72,24.3015320926459,21.697796511291,1344.59389339,0.341523830910041,3,2,0,0
43,43,7.98847873956044,9.98559842445055,2617.92556358,0.49221938332309,1,1,1,1
100,100,6.41988074685062,8.98783304559086,4563.96095504,0.569964271828817,1,1,1,1
284,284,6.43172401077379,17.1512640287301,4254.01818536,0.690921548969863,1,1,1,1
280,280,4.69746020429212,8.61201037453556,3384.10837566,0.501624456997507,1,1,1,1
169,169,5.92347037818637,30.8020459665691,3281.65427702,0.700760138376229,1,3,1,1
167,167,1.22028815217836,1.22028815217836,1671.8155514,0.559689641873984,0,0,0,1
