TEA,SLN,hel_bphigh,hel_castthma,hel_checkup,hel_fruitsveggies,hel_le,hel_mhlth,hel_obesity,hel_perpri,hel_perpub,hel_prtopu,hel_pharmacap,hel_phlth,hel_sleep,hel_stroke,hel_perins,hel_perunin,hel_clincap,hel_groccap,hel_bphigh_sd,hel_castthma_sd,hel_checkup_sd,hel_fruitsveggies_sd,hel_le_sd,hel_mhlth_sd,hel_obesity_sd,hel_perpri_sd,hel_perpub_sd,hel_prtopu_sd,hel_pharmacap_sd,hel_phlth_sd,hel_sleep_sd,hel_stroke_sd,hel_perins_sd,hel_perunin_sd,hel_clincap_sd,hel_groccap_sd
47,47,2943.97370930007,756.557869657288,6293.73839096299,480.199381512,80.9519864681,1042.1248601911,2595.53058837401,0.720997033089555,0.256571612147325,2.81012005597702,9.63821425189081,1002.43858524767,2718.90331328466,260.14769867462,0.871591360054425,0.128351947389308,1.51187674539464,2.26781511809196,3,4,2,4,4,4,4,4,0,4,4,4,0,1,4,0,4,4
69,69,2829.84912496671,887.54782394611,5652.41888563472,346.249627353,75.2132749184,1628.54069833602,3409.11031435534,0.33321196122161,0.38327795730736,0.869374183588647,0.782667793024608,1450.82966270048,3272.68374671816,282.40680784498,0.697828956351554,0.302034500022757,0.391333896512304,0.391333896512304,3,2,0,2,1,2,2,0,3,1,0,2,2,1,1,3,2,0
354,354,4801.45381349414,1170.50805694795,7539.52480257845,316.282894492,72.6215628371,1632.70663738709,4418.97790179531,0.412608255539309,0.435777752783714,0.946831849270874,1.70692025535785,1702.18310448165,4114.97334596939,586.18366845834,0.812731976155663,0.187099313912946,0.568973418452618,0.568973418452618,0,0,4,1,0,2,0,2,4,1,1,1,4,4,4,0,2,0
62,62,3790.46247105432,1027.67264904342,6778.81084181514,326.477499692,70.4525603317,1613.02091824508,3949.04047401981,0.436033391029995,0.347604127867488,1.25439647021746,6.6319605265977,1559.71775873787,3788.53284937081,451.480880669369,0.761157730987489,0.23838215639447,3.31598026329885,1.54745745620613,1,1,3,1,0,2,1,2,2,2,4,2,3,3,2,2,4,4
76,76,3545.62918756415,1004.63095393918,6729.49051194305,379.755431152,77.2372448024,1617.37344185493,3732.49235289886,0.484658609806789,0.323931952890463,1.49617413621026,1.6746550682133,1533.66771458168,3661.60338331905,372.036216034541,0.759033176814718,0.24108998537449,0.257639241263585,0.386458861895377,2,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2,1,0
353,353,3563.74481875065,1024.0925735652,6648.15164878096,352.343500032,75.7514036022,1730.26906224448,3982.59943967242,0.394460144991136,0.356439467078587,1.10666797990742,1.58540666227544,1621.84840742733,3818.56676282627,377.632942286627,0.720268918183574,0.279625761378996,0.176156295808382,0.704625183233527,2,1,2,2,2,1,1,1,2,1,1,1,3,2,1,3,1,1
53,53,2842.22976133116,869.495163854115,6352.32339852365,398.660725699,79.1474254937,1390.03811344718,3255.52798459965,0.568534932604254,0.24821037468213,2.29053653914485,1.91598086499241,1231.35166651639,3270.20863151786,262.315013512805,0.786626684893651,0.213196924931281,0.736915717304772,1.47383143460954,3,3,2,3,3,3,3,3,0,3,2,3,1,1,3,1,2,4
55,55,2390.0954807079,692.072538969675,5504.99858228133,422.389488352,79.3550127786,1058.84269960747,2643.20482098964,0.684860181332047,0.2064612106226,3.31713729308666,10.4637559507311,918.493479651902,2764.88157457172,199.349637448213,0.829061375469915,0.170858211205597,2.81716506365838,2.01226075975599,4,4,0,4,4,4,4,4,0,4,4,4,0,0,4,0,4,4
79,79,2857.10700907196,874.154720749632,6085.92778777229,392.768258662,77.4241875438,1655.65717415985,3574.62264596153,0.361305026649678,0.25556771889525,1.41373499052033,1.79934283901912,1486.64821052517,3485.17736223207,259.330253902199,0.590833228648852,0.409077041796027,0.359868567803823,0.899671419509558,3,3,1,3,2,2,2,1,0,2,2,2,2,1,0,4,2,2
77,77,3557.76657290784,951.322011011072,6606.49797564643,340.63692716,73.5375438229,1585.07083113242,3852.01028555209,0.426638365614221,0.342000530644733,1.24747866563227,2.0933534477176,1559.57053268735,3659.66343328621,394.921818793583,0.743016336277148,0.256737292953796,0.95152429441709,1.33213401218393,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,3,3
