OBJECTID,TEA,SLN,SCHOOLNAME,LEVEL,ADDRESS,CITY,ZIP,PHONE,WEBSITE,POINT_X,POINT_Y,MasterID,Feeder,HIGH_SLN,dem_totp,dem_popwh,dem_popbl,dem_popas,dem_pophi,dem_popm,dem_popf,dem_thh,dem_popse,dem_popch,dem_totp_sd,dem_popwh_sd,dem_popbl_sd,dem_popas_sd,dem_pophi_sd,dem_popm_sd,dem_popf_sd,dem_thh_sd,dem_popse_sd,dem_popch_sd,dem_perwh_sd,dem_perbl_sd,dem_peras_sd,dem_perhi_sd,dem_perm_sd,dem_perf_sd,dem_perse_sd,dem_perch_sd,comm_bbp,comm_bvp,comm_cctrcap,comm_incarpct,comm_juvcrimecap,comm_libcap,comm_ltbvp,comm_ltrvp,comm_ocb,comm_ocbp,comm_parkcap,comm_rcb,comm_rcbp,comm_rvp,comm_u18bbp,comm_evrate,comm_bbp_sd,comm_bvp_sd,comm_cctrcap_sd,comm_incarpct_sd,comm_juvcrimecap_sd,comm_libcap_sd,comm_ltbvp_sd,comm_ltrvp_sd,comm_ocb_sd,comm_ocbp_sd,comm_parkcap_sd,comm_rcb_sd,comm_rcbp_sd,comm_rvp_sd,comm_u18bbp_sd,comm_evrate_sd,econ_cpr,econ_fincap,econ_medinc,econ_paydaycap,econ_pctlwjobs,econ_pctmwjobs,econ_totjobs,econ_pr,econ_pyr,econ_ur,econ_cpr_sd,econ_fincap_sd,econ_medinc_sd,econ_paydaycap_sd,econ_pctlwjobs_sd,econ_pctmwjobs_sd,econ_totjobs_sd,econ_pr_sd,econ_pyr_sd,econ_ur_sd,edu_oostkids,edu_perbach,edu_perearlyed,edu_qeckids,edu_oostkids_sd,edu_perbach_sd,edu_perearlyed_sd,edu_qeckids_sd,fam_affcckids,fam_lcckids,fam_tphh,fam_tphhpct,fam_affcckids_sd,fam_lcckids_sd,fam_tphh_sd,fam_tphhpct_sd,hel_bphigh,hel_castthma,hel_checkup,hel_fruitsveggies,hel_le,hel_mhlth,hel_obesity,hel_perpri,hel_perpub,hel_prtopu,hel_pharmacap,hel_phlth,hel_sleep,hel_stroke,hel_perins,hel_perunin,hel_clincap,hel_groccap,hel_bphigh_sd,hel_castthma_sd,hel_checkup_sd,hel_fruitsveggies_sd,hel_le_sd,hel_mhlth_sd,hel_obesity_sd,hel_perpri_sd,hel_perpub_sd,hel_prtopu_sd,hel_pharmacap_sd,hel_phlth_sd,hel_sleep_sd,hel_stroke_sd,hel_perins_sd,hel_perunin_sd,hel_clincap_sd,hel_groccap_sd,hi_gen,ci_index,eci_index,edi_index,fi_index,hi_index,cri_index,ci_weight,eci_weight,edi_weight,fi_weight,hi_weight,cri_weight,ci_weight_quintile,eci_weight_quintile,edi_weight_quintile,fi_weight_quintile,hi_weight_quintile,cri_weight_quintile
1,47,47,Franklin International Exploratory Academy Middle School,Middle,6920 Meadow Rd.,Dallas,75230,9725027100,http://www.dallasisd.org/franklin,-96.78454417,32.88553957,'057905047,Hillcrest,6,53502,40518,5953,3913,8376,25566,27935,24126,9409,10996,2,2,1,4,0,2,2,3,4,1,3,1,4,0,0,4,4,0,0.867834140815662,0.106364340149,0.377969186348659,0.00203982727605927,177.073335720316,0.566953779522989,0.0823109685096,0.00945827078652,3290.436462571,0.28951935146247,0.0770571488881736,5881.831889202,0.461070425440098,0.0119801061289,0.872918099659782,135.407461009407,4,2,2,4,3,4,3,3,0,0,1,1,2,3,4,3,0.199699914864673,6.80344535427587,66860.2975052,1.32289215222031,0.240340320813889,0.301547049202467,66643,0.12657763667789,0.144296200320362,0.0354651369421715,4,4,4,2,2,0,4,4,4,4,1744.66095551998,0.359941298252051,0.524279210925645,0,3,4,4,0,2.73887120175821,19.1720984123075,4496.57762575,0.764938617666782,1,1,1,2,2943.97370930007,756.557869657288,6293.73839096299,480.199381512,80.9519864681,1042.1248601911,2595.53058837401,0.720997033089555,0.256571612147325,2.81012005597702,9.63821425189081,1002.43858524767,2718.90331328466,260.14769867462,0.871591360054425,0.128351947389308,1.51187674539464,2.26781511809196,3,4,2,4,4,4,4,4,0,4,4,4,0,1,4,0,4,4,52,73,72,80,86,60,71,73,72,80,86,60,71,3,3,3,4,2,3
2,69,69,Seagoville Middle School,Middle,950 Woody Rd.,Dallas,75253,9728927100,http://www.dallasisd.org/seagovillems,-96.58334471,32.68191098,'057905069,Seagoville,15,22121,16791,3222,28,13501,11072,11048,5977,1273,7960,0,0,0,1,0,0,0,0,0,0,3,1,1,3,2,2,0,4,0.798295538028238,0.0721015067479,0.456550533971212,0.0039219280435987,209.666710331074,0.456550533971212,0.0649994267305,0.0142392751127,1006.6789719109,0.266973225356497,0.0472729980108961,1018.28532259342,0.461893224583204,0.0166887836932,0.811098317444868,306.345408294683,3,4,2,3,2,4,4,3,4,2,1,4,2,3,4,0,0.285842823255853,0,23866.9719092,0,0.228634850166482,0.384017758046615,1802,0.211512619596317,0.252354986948876,0.0489970925813335,2,0,1,4,2,2,1,2,2,3,296.641947009083,0.0514552581102494,0.24311377245509,0,0,0,0,0,1.26770062824395,1.26770062824395,1677.36639634,0.562008182873475,0,0,0,1,2829.84912496671,887.54782394611,5652.41888563472,346.249627353,75.2132749184,1628.54069833602,3409.11031435534,0.33321196122161,0.38327795730736,0.869374183588647,0.782667793024608,1450.82966270048,3272.68374671816,282.40680784498,0.697828956351554,0.302034500022757,0.391333896512304,0.391333896512304,3,2,0,2,1,2,2,0,3,1,0,2,2,1,1,3,2,0,35,67,34,42,6,29,42,67,34,42,6,29,35,3,1,2,0,1,1
3,354,354,Kennedy-Curry Middle School,Middle,6605 Sebring Dr.,Dallas,75241,9729251600,http://www.dallasisd.org/kennedycurry,-96.75786656,32.66095638,'057905354,Wilmer-Hutchins,380,17892,2753,14303,21,2874,7997,9895,6186,2241,5208,0,0,2,1,0,0,0,0,0,0,0,4,1,0,0,4,3,2,0.526532614460062,0.0580815817935,1.13794683690524,0.0133352521514535,586.182297603388,0.568973418452618,0.05523051308,0.0304379299359,869.005469652,0.252006811347954,0.288045241817246,1391.07606260203,0.508801372183169,0.0334660116871,0.472652395519006,209.66670469979,0,4,4,0,0,4,4,1,4,2,4,4,1,2,0,1,0.367400488174295,0,20214.399823,0,0.246826987307949,0.458583834335337,2994,0.262244767676277,0.214985180239952,0.0960468492847943,1,0,1,4,2,4,1,1,3,0,1086.77016105762,0.0726549792156154,0.507462686567164,1.93375473497797,2,1,3,4,7.7350189399119,11.6025284098678,619.762256282,0.325935707377474,1,1,0,-1,4801.45381349414,1170.50805694795,7539.52480257845,316.282894492,72.6215628371,1632.70663738709,4418.97790179531,0.412608255539309,0.435777752783714,0.946831849270874,1.70692025535785,1702.18310448165,4114.97334596939,586.18366845834,0.812731976155663,0.187099313912946,0.568973418452618,0.568973418452618,0,0,4,1,0,2,0,2,4,1,1,1,4,4,4,0,2,0,8,56,27,74,21,17,39,56,27,74,21,17,30,2,1,3,1,0,1
4,62,62,Dade Middle School,Middle,2727 Grand Ave.,Dallas,75215,9727493800,http://www.dallasisd.org/dade,-96.77341356,32.77121228,'057905062,Madison,32,45890,23349,19412,1120,13600,23999,21863,20061,4404,8440,1,1,4,2,0,2,1,2,1,0,0,4,2,0,4,0,2,0,0.637824060814925,0.0996285106716,2.65278421063908,0.0117974428034319,794.072922685198,0.44213070177318,0.0949742515869,0.0501529628898,1218.4844040595,0.253399934818216,0.246331278985395,6592.787328478,0.431952389633547,0.0558617220706,0.557284370170669,433.509153088603,1,2,4,0,0,4,2,0,4,2,3,1,3,0,0,0,0.473722277158744,9.94794078989656,26579.1763431,2.65278421063908,0.119552719691705,0.221239497125529,158290,0.306414972567162,0.260761047531386,0.0708886110446359,0,4,2,0,4,0,4,0,2,1,3873.84676462551,0.202820806461334,0.481675392670157,2.42342618994402,4,3,3,4,18.1756964245801,36.3513928491602,1191.53382362,0.383777708399434,2,3,0,0,3790.46247105432,1027.67264904342,6778.81084181514,326.477499692,70.4525603317,1613.02091824508,3949.04047401981,0.436033391029995,0.347604127867488,1.25439647021746,6.6319605265977,1559.71775873787,3788.53284937081,451.480880669369,0.761157730987489,0.23838215639447,3.31598026329885,1.54745745620613,1,1,3,1,0,2,1,2,2,2,4,2,3,3,2,2,4,4,20,41,41,79,49,34,44,41,41,79,49,34,39,2,2,3,2,1,1
5,76,76,Lang Sr. Middle School,Middle,1678 Chenault St.,Dallas,75228,9729252400,http://www.dallasisd.org/lang,-96.68679803,32.80176309,'057905076,Skyline,25,65193,40762,16959,603,31837,31880,33311,23163,5994,18971,3,2,3,2,2,3,3,2,2,3,2,2,1,2,2,2,2,2,0.728446202826889,0.192078188849,0.308243518498747,0.00682516991601414,266.747548502887,0.308243518498747,0.172348886649,0.0256707411524,2823.926257677,0.253615975750833,0.0262076030281116,5929.523365811,0.492645305945101,0.0335034580886,0.708358310282594,254.917389798464,2,0,1,2,2,3,0,2,1,2,0,1,1,2,2,0,0.334491936361336,1.69533935174311,28924.0361927,1.07885231474562,0.247213241326063,0.357718477054481,20723,0.218171795292164,0.224159443106267,0.0457788809704977,2,2,2,3,2,2,2,2,3,3,785.629995330092,0.137345016539986,0.300987548303993,0,1,2,0,0,9.01195001390793,12.7227529608112,4464.81034625,0.600717147653375,1,1,1,1,3545.62918756415,1004.63095393918,6729.49051194305,379.755431152,77.2372448024,1617.37344185493,3732.49235289886,0.484658609806789,0.323931952890463,1.49617413621026,1.6746550682133,1533.66771458168,3661.60338331905,372.036216034541,0.759033176814718,0.24108998537449,0.257639241263585,0.386458861895377,2,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2,1,0,27,49,36,55,79,30,43,49,36,55,79,30,38,2,1,2,3,1,1
6,353,353,Richards STEAM Academy Middle School,Middle,3831 N. Prairie Creek Rd.,Dallas,75227,9728925400,http://www.dallasisd.org/annrichards,-96.66629604,32.77002209,'057905353,Skyline,25,57337,38548,15616,494,34872,27946,29381,17086,4216,19433,2,2,3,1,3,2,2,2,1,3,2,2,1,3,1,3,0,4,0.669526617119543,0.103850846915,0.176156295808382,0.00722972532569924,239.813269443828,0,0.100326881911,0.0179339048935,2784.1886634009,0.300993542598476,0.0227005990268682,4258.440271237,0.543318618642606,0.0225312406108,0.660950231423552,272.16147702395,2,2,1,2,2,0,2,2,1,0,0,2,0,2,2,0,0.364865160670425,0.176156295808382,24000.5438858,0.352312591616763,0.201921300572695,0.38735451690375,21652,0.255749147119622,0.311541038092754,0.0461250919932441,2,0,1,4,3,2,2,1,2,3,432.122922465493,0.0639094136839075,0.19524838012959,0,0,1,0,0,5.21258048812416,6.25509658574899,4176.60222629,0.580557648438962,1,0,1,1,3563.74481875065,1024.0925735652,6648.15164878096,352.343500032,75.7514036022,1730.26906224448,3982.59943967242,0.394460144991136,0.356439467078587,1.10666797990742,1.58540666227544,1621.84840742733,3818.56676282627,377.632942286627,0.720268918183574,0.279625761378996,0.176156295808382,0.704625183233527,2,1,2,2,2,1,1,1,2,1,1,1,3,2,1,3,1,1,23,54,35,42,72,22,40,54,35,42,72,22,33,2,1,2,3,1,1
7,53,53,Long Middle School,Middle,6116 Reiger Ave.,Dallas,75214,9725024700,http://www.dallasisd.org/long,-96.75029681,32.80694386,'057905053,Wilson,22,68180,53821,7339,1866,27247,34723,33427,29475,6121,14793,3,4,1,3,2,3,3,4,2,2,3,1,3,1,3,1,1,0,0.789413136601225,0.0900269237365,0.589532573843818,0.00525033980454068,257.886074173051,0.147383143460954,0.0860651215333,0.0203009602416,2705.238110057,0.247140283870226,0.220043550692163,7523.984127516,0.40610073576494,0.0251000834955,0.75423567414356,167.795708830297,3,3,2,2,2,1,3,2,1,2,3,0,4,2,3,2,0.315596590066118,2.50551343883623,44739.6076922,1.6212145780705,0.301018420613278,0.35833936223496,17969,0.193233298919585,0.303796787836808,0.0424221901209974,2,2,4,2,0,2,2,2,2,3,1627.18312071791,0.277481434996339,0.531858407079646,0.682829677179147,3,4,4,2,4.77980774025403,21.8505496697327,4180.76347192,0.627005477888823,1,2,1,1,2842.22976133116,869.495163854115,6352.32339852365,398.660725699,79.1474254937,1390.03811344718,3255.52798459965,0.568534932604254,0.24821037468213,2.29053653914485,1.91598086499241,1231.35166651639,3270.20863151786,262.315013512805,0.786626684893651,0.213196924931281,0.736915717304772,1.47383143460954,3,3,2,3,3,3,3,3,0,3,2,3,1,1,3,1,2,4,41,60,34,87,91,43,48,60,34,87,91,43,51,2,1,4,4,2,2
8,55,55,Rusk Middle School,Middle,2929 Inwood Rd.,Dallas,75235,9729252000,http://www.dallasisd.org/rusk,-96.83487183,32.82671808,'057905055,North Dallas,24,51408,39657,6181,2546,13820,27284,24122,24402,5510,7856,2,2,1,4,1,2,2,3,2,0,3,1,4,0,4,0,2,0,0.845873362012815,0.118332951094,1.20735645585359,0.00255603232459697,231.980250324272,0.402452151951197,0.111557517701,0.0089851558672,2359.058386029,0.259963036698308,0.0337818683150916,5887.503378218,0.384017556330192,0.0108372902538,0.793873967795198,159.371052172674,4,2,4,4,2,4,2,3,2,2,0,1,4,3,3,2,0.168253066887248,5.03065189938996,34882.4679238,2.01226075975599,0.134632777747014,0.263894272477251,108354,0.131012194565708,0.101928863337311,0.0303195187319037,4,4,2,1,4,0,4,4,4,4,2021.24362169546,0.304174848894443,0.586549062844543,1.29152947073192,4,4,4,3,7.74917682439154,15.4983536487831,2776.62550891,0.728137468093317,1,1,1,2,2390.0954807079,692.072538969675,5504.99858228133,422.389488352,79.3550127786,1058.84269960747,2643.20482098964,0.684860181332047,0.2064612106226,3.31713729308666,10.4637559507311,918.493479651902,2764.88157457172,199.349637448213,0.829061375469915,0.170858211205597,2.81716506365838,2.01226075975599,4,4,0,4,4,4,4,4,0,4,4,4,0,0,4,0,4,4,61,72,67,92,80,63,65,72,67,92,80,63,72,3,3,4,3,3,3
9,79,79,Medrano Middle School,Middle,9815 Brockbank Dr,Dallas,75220,9729251300,http://www.dallasisd.org/panchomedrano,-96.87636135,32.87256123,'057905079,Jefferson,7,55979,49270,2361,1031,30753,29944,26030,18542,3755,15365,2,3,0,2,2,2,2,2,1,2,4,0,2,2,4,0,0,2,0.681479481906344,0.109630964022,0.179934283901912,0.00243240001062484,259.781194974642,0.179934283901912,0.104891868958,0.00752321606543,1662.010227449,0.246887537761415,0.152921296687384,5386.7921823934,0.455897546695572,0.00905276308559,0.67266359737425,158.612071259535,2,2,1,4,2,1,2,4,3,2,2,2,2,4,2,2,0.276541009548745,2.15921140682294,34485.9218932,4.13848852974397,0.239117556456008,0.352266533968389,42201,0.177860774520297,0.315465287493715,0.0472829836960937,3,2,2,0,2,2,2,3,2,3,484.268171526981,0.139096884824236,0.4038811400849,0.657080287010829,0,2,2,2,2.62832114804332,3.94248172206497,4879.24842463,0.719549378023489,0,0,1,2,2857.10700907196,874.154720749632,6085.92778777229,392.768258662,77.4241875438,1655.65717415985,3574.62264596153,0.361305026649678,0.25556771889525,1.41373499052033,1.79934283901912,1486.64821052517,3485.17736223207,259.330253902199,0.590833228648852,0.409077041796027,0.359868567803823,0.899671419509558,3,3,1,3,2,2,2,1,0,2,2,2,2,1,0,4,2,2,35,62,39,70,74,32,45,62,39,70,74,32,45,3,1,3,3,1,2
10,77,77,Garcia Middle School,Middle,700 E. Eighth St.,Dallas,75203,9725025500,http://www.dallasisd.org/garcia,-96.81388591,32.74985591,'057905077,Adamson,2,53070,36345,13064,398,29934,27632,25409,18861,4929,13623,2,2,2,1,2,2,2,2,2,2,2,2,1,2,4,0,2,2,0.77569960186527,0.136797897397,0.380609717766836,0.00748767227489461,351.570794175753,0.190304858883418,0.132165585183,0.058050415944,1795.701569586,0.240732393635947,0.271998686237471,4989.9892186749,0.437038640770297,0.0616766812645,0.8128268487053,151.577820100642,3,1,2,2,1,2,0,0,3,3,3,2,3,0,4,2,0.373366264210545,1.90304858883418,26630.3992156,1.71274372995076,0.22358865442587,0.3972321183886,29192,0.248490692897821,0.581371340458145,0.082066404072778,1,2,2,2,2,3,2,2,0,0,1599.40031489058,0.171017441860465,0.53972153972154,1.49406848658625,3,2,4,3,8.96441091951749,17.928821839035,2513.04769024,0.503883161808687,1,1,1,1,3557.76657290784,951.322011011072,6606.49797564643,340.63692716,73.5375438229,1585.07083113242,3852.01028555209,0.426638365614221,0.342000530644733,1.24747866563227,2.0933534477176,1559.57053268735,3659.66343328621,394.921818793583,0.743016336277148,0.256737292953796,0.95152429441709,1.33213401218393,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,3,3,26,57,32,81,73,28,45,57,32,81,73,28,41,2,1,4,3,1,2
